Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
SIGLEC10	MGC126774, PRO940, SIGLEC-10, SLG2	ENSG00000142512	Sialic acid binding Ig like lectin 10	19	51410021-51417803	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB025807, HPA027093	Enhanced		Supported	Plasma membrane<br>Actin filaments<br>Cytosol	Renal cancer:4.74e-5 (unfavourable)	Expressed in all	Tissue enhanced		appendix: 48.4;spleen: 36.9	lymph node: 22.1	Cell line enhanced		Daudi: 21.0;HEL: 13.5;HMC-1: 10.2;U-698: 14.8;U-937: 9.7
SIGLEC6	CD327, CD33L, CD33L1, OB-BP1, SIGLEC-6	ENSG00000105492	Sialic acid binding Ig like lectin 6	19	51519525-51531856	CD markers, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA009084, HPA018198	Enhanced					Tissue enhanced	Tissue enriched	25	placenta: 147.9	lung: 6.0	Cell line enriched	7	HMC-1: 401.5
SIGLEC7	CD328, p75/AIRM1, QA79, SIGLEC-7, SIGLEC19P, SIGLECP2	ENSG00000168995	Sialic acid binding Ig like lectin 7	19	51142299-51153526	CD markers, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level							Mixed	Tissue enhanced		spleen: 21.0	appendix: 14.4	Group enriched	10	Karpas-707: 39.7;RPMI-8226: 23.1;U-937: 27.4
SIGLECL1	C19orf75, FLJ40235, SIGLEC23P, SIGLECP7	ENSG00000179213	SIGLEC family like 1	19	51246348-51269330	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at transcript level							Not detected	Tissue enriched	86	testis: 40.1	cervix, uterine: 0.4	Not detected		
SIGMAR1	OPRS1, SR-BP1	ENSG00000147955	Sigma non-opioid intracellular receptor 1	9	34634722-34637809	Disease related genes, FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	CAB013470, HPA018002, HPA024071	Approved				Urothelial cancer:3.42e-4 (unfavourable)	Expressed in all	Expressed in all			liver: 67.8	Expressed in all		
SIRPB1	CD172b, SIRP-BETA-1	ENSG00000101307	Signal regulatory protein beta 1	20	1563521-1620061	CD markers, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA047463	Uncertain		Uncertain	Vesicles		Mixed	Tissue enhanced		appendix: 38.7;bone marrow: 33.7	lung: 28.0	Cell line enhanced		HMC-1: 46.6;NB-4: 46.7;THP-1: 38.2
SLAMF1	CD150, SLAM	ENSG00000117090	Signaling lymphocytic activation molecule family member 1	1	160608100-160647295	CD markers, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB002438, HPA069319	Enhanced					Mixed	Tissue enhanced		appendix: 15.4;lymph node: 21.1;tonsil: 14.3	spleen: 7.9	Cell line enriched	134	HDLM-2: 142.1
SLAMF7	19A, CD319, CRACC, CS1	ENSG00000026751	SLAM family member 7	1	160739057-160754821	CD markers, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB015445, HPA055945, HPA061654	Enhanced		Approved	Vesicles	Renal cancer:8.57e-5 (unfavourable), Ovarian cancer:3.93e-4 (favourable)	Mixed	Mixed			spleen: 58.3	Group enriched	7	SK-MEL-30: 45.6;U-266/70: 216.2
SLC10A3	DXS253E, P3	ENSG00000126903	Solute carrier family 10 member 3	X	154487306-154490690	Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA021656	Approved		Approved	Intermediate filaments	Colorectal cancer:4.15e-5 (unfavourable), Cervical cancer:4.53e-4 (favourable), Pancreatic cancer:7.22e-4 (unfavourable)	Expressed in all	Expressed in all			gallbladder: 33.0	Expressed in all		
SLC15A3	hPTR3, PHT2	ENSG00000110446	Solute carrier family 15 member 3	11	60937084-60952530	Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA047880, HPA057642	Approved		Supported	Vesicles	Cervical cancer:4.07e-5 (favourable)	Expressed in all	Expressed in all			lung: 102.2	Cell line enhanced		BJ hTERT+ SV40 Large T+: 91.0;BJ hTERT+ SV40 Large T+ RasG12V: 114.5;HHSteC: 47.3
SLC25A14	BMCP1, UCP5	ENSG00000102078	Solute carrier family 25 member 14	X	130339888-130373361	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA060316			Approved	Mitochondria	Renal cancer:5.52e-6 (unfavourable), Urothelial cancer:1.39e-5 (favourable), Cervical cancer:1.72e-5 (favourable), Pancreatic cancer:1.78e-4 (favourable)	Expressed in all	Mixed			cerebral cortex: 20.4	Expressed in all		
SLC2A5	GLUT5	ENSG00000142583	Solute carrier family 2 member 5	1	9035107-9088478	Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA005449	Enhanced				Renal cancer:5.44e-5 (unfavourable)	Group enriched	Tissue enhanced		duodenum: 109.0;small intestine: 92.6;testis: 139.9	bone marrow: 64.4	Cell line enhanced		Daudi: 134.4;U-266/70: 111.0;U-698: 121.2;U-937: 52.9
SLC35E3	BLOV1	ENSG00000175782	Solute carrier family 35 member E3	12	68746106-68793964	Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at transcript level	HPA049403	Uncertain				Endometrial cancer:1.78e-4 (favourable)	Expressed in all	Mixed			skin: 6.1	Mixed		
SLC39A10	DKFZp564L2123, FLJ90515, KIAA1265	ENSG00000196950	Solute carrier family 39 member 10	2	195575977-195737702	Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA036512, HPA036513, HPA066087	Approved		Approved	Nucleoplasm<br>Plasma membrane<br>Cytosol	Glioma:2.05e-5 (favourable), Liver cancer:4.39e-5 (unfavourable), Pancreatic cancer:3.23e-4 (unfavourable)	Expressed in all	Tissue enhanced		cerebral cortex: 77.7;thyroid gland: 79.2	prostate: 30.8	Expressed in all		
SLC39A14	KIAA0062, NET34, ZIP14	ENSG00000104635	Solute carrier family 39 member 14	8	22367249-22434129	Disease related genes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA016508	Approved		Approved	Endoplasmic reticulum<br>Golgi apparatus<br>Plasma membrane	Renal cancer:3.79e-7 (unfavourable), Colorectal cancer:5.00e-5 (favourable)	Expressed in all	Mixed			liver: 203.0	Expressed in all		
SLC39A4	AEZ, AWMS2, ZIP4	ENSG00000147804	Solute carrier family 39 member 4	8	144409742-144416895	Disease related genes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level						Renal cancer:9.04e-4 (favourable)	Expressed in all	Group enriched	8	duodenum: 134.2;small intestine: 95.7	kidney: 14.3	Group enriched	9	CAPAN-2: 50.5;Hep G2: 102.1
SLC39A5		ENSG00000139540	Solute carrier family 39 member 5	12	56230049-56237846	Disease related genes, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA018423			Approved	Nucleoplasm<br>Vesicles<br>Cytosol	Renal cancer:5.05e-4 (favourable)	Tissue enhanced	Group enriched	12	colon: 73.2;duodenum: 240.2;kidney: 115.0;liver: 86.0;pancreas: 53.1;rectum: 48.9;small intestine: 240.4	gallbladder: 10.0	Group enriched	62	CACO-2: 33.1;Hep G2: 39.7
SLC3A1	ATR1, CSNU1, D2H, NBAT, RBAT	ENSG00000138079	Solute carrier family 3 member 1	2	44275458-44321494	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA038360, HPA071102	Enhanced		Approved	Nuclear bodies<br>Mitochondria	Renal cancer:3.67e-7 (favourable)	Tissue enriched	Tissue enhanced		kidney: 688.2	small intestine: 148.9	Cell line enriched	14	RPTEC TERT1: 80.7
SLC4A5	NBC4	ENSG00000188687	Solute carrier family 4 member 5	2	74216242-74343414	Cancer-related genes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA036621	Approved					Tissue enriched	Group enriched	6	testis: 30.9;thyroid gland: 44.9	skin: 6.3	Cell line enhanced		U-266/70: 7.2
SLC51A	OSTalpha	ENSG00000163959	Solute carrier family 51 alpha subunit	3	196211487-196243178	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA039123	Enhanced				Liver cancer:7.54e-4 (favourable)	Tissue enriched	Tissue enhanced		duodenum: 29.3;liver: 35.1;small intestine: 71.3	colon: 9.9	Cell line enhanced		REH: 3.4
SLC52A2	D15Ertd747e, FLJ11856, GPCR41, GPR172A, hRFT3, PAR1, RFVT2	ENSG00000185803	Solute carrier family 52 member 2	8	144354135-144361272	Disease related genes, FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA063036	Approved				Liver cancer:2.04e-6 (unfavourable), Renal cancer:1.23e-4 (unfavourable), Cervical cancer:7.55e-4 (unfavourable)	Expressed in all	Expressed in all			placenta: 20.8	Expressed in all		
SLC5A6	SMVT	ENSG00000138074	Solute carrier family 5 member 6	2	27199587-27212958	Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA036958	Approved		Approved	Cell Junctions	Renal cancer:3.60e-7 (unfavourable)	Expressed in all	Expressed in all			epididymis: 81.3	Expressed in all		
SLC6A9	GLYT1	ENSG00000196517	Solute carrier family 6 member 9	1	43991500-44031467	Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA013977	Uncertain		Approved	Nucleus<br>Golgi apparatus	Renal cancer:5.93e-4 (unfavourable), Endometrial cancer:9.50e-4 (unfavourable)	Expressed in all	Tissue enhanced		skin: 49.7	adrenal gland: 30.8	Cell line enhanced		hTCEpi: 77.6
SLC8A1	NCX1	ENSG00000183023	Solute carrier family 8 member A1	2	40097270-40611053	FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	CAB022694, HPA070007	Uncertain		Supported	Nucleoplasm<br>Plasma membrane		Mixed	Tissue enhanced		heart muscle: 78.0	seminal vesicle: 37.6	Cell line enhanced		BJ: 24.4;fHDF/TERT166: 54.5
SLC8B1	FLJ22233, NCKX6, NCLX, SLC24A6	ENSG00000089060	Solute carrier family 8 member B1	12	113298759-113359493	Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA040668	Approved				Urothelial cancer:5.02e-4 (favourable), Breast cancer:9.52e-4 (favourable)	Expressed in all	Expressed in all			adrenal gland: 48.4	Mixed		
SLC9A6	KIAA0267, NHE6	ENSG00000198689	Solute carrier family 9 member A6	X	135973841-136047269	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA059445, HPA059590	Enhanced		Supported	Vesicles		Expressed in all	Tissue enhanced		cerebral cortex: 67.9	parathyroid gland: 16.6	Mixed		
SLCO1A2	OATP, OATP-A, OATP1A2, SLC21A3	ENSG00000084453	Solute carrier organic anion transporter family member 1A2	12	21264600-21419594	Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA071152			Supported	Plasma membrane		Tissue enhanced	Tissue enhanced		cerebral cortex: 28.7	salivary gland: 6.6	Cell line enhanced		NTERA-2: 16.5;RPMI-8226: 8.3;U-266/70: 18.6
SLIT2	SLIL3, Slit-2	ENSG00000145147	Slit guidance ligand 2	4	20253260-20620561	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB007590, HPA019511, HPA023088	Uncertain				Renal cancer:6.51e-4 (favourable)	Mixed	Mixed			lung: 49.5	Cell line enhanced		BJ hTERT+: 175.8;BJ hTERT+ SV40 Large T+: 96.6;fHDF/TERT166: 96.4;HBF TERT88: 115.2
SLITRK3	KIAA0848	ENSG00000121871	SLIT and NTRK like family member 3	3	165186720-165197109	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA017636, HPA048042	Enhanced		Approved	Mitochondria		Tissue enriched	Tissue enhanced		cerebral cortex: 17.3;endometrium: 12.3	fallopian tube: 9.8	Cell line enhanced		AF22: 2.6;HAP1: 2.3;SCLC-21H: 1.7
SMIM7	C19orf42, MGC2747	ENSG00000214046	Small integral membrane protein 7	19	16630751-16660442	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA043127	Uncertain		Approved	Golgi apparatus		Expressed in all	Expressed in all			epididymis: 55.4	Expressed in all		
SMOC2	SMAP2	ENSG00000112562	SPARC related modular calcium binding 2	6	168441151-168673445	Disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB033979	Uncertain				Renal cancer:1.16e-6 (unfavourable)	Expressed in all	Mixed			endometrium: 183.6	Cell line enhanced		AF22: 8.0;EFO-21: 2.6;RPMI-8226: 7.7;RPTEC TERT1: 2.8
SNX14	RGS-PX2	ENSG00000135317	Sorting nexin 14	6	85505496-85594156	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA017639	Approved		Supported	Cytosol	Head and neck cancer:2.78e-4 (unfavourable)	Expressed in all	Expressed in all			testis: 156.6	Expressed in all		
SPACA3	ALLP17, CT54, LYC3, LYZL3, SLLP1	ENSG00000141316	Sperm acrosome associated 3	17	32970376-32997877	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA023633	Enhanced					Tissue enhanced	Tissue enriched	17	testis: 77.5	pancreas: 4.5	Cell line enriched	17	U-266/70: 72.1
SPINT1	HAI, MANSC2	ENSG00000166145	Serine peptidase inhibitor, Kunitz type 1	15	40844018-40858207	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA006903, HPA031178	Uncertain		Supported	Nucleoplasm<br>Plasma membrane<br>Cytosol	Renal cancer:1.37e-7 (favourable), Breast cancer:6.97e-4 (unfavourable)	Expressed in all	Mixed			parathyroid gland: 217.3	Cell line enhanced		BEWO: 311.8;HaCaT: 333.0;RT4: 245.6;SK-BR-3: 418.2;T-47d: 251.3
SPINT2	HAI-2, Kop	ENSG00000167642	Serine peptidase inhibitor, Kunitz type 2	19	38244035-38292614	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA011101, CAB018969	Approved		Uncertain	Plasma membrane<br>Intermediate filaments<br>Cytosol	Renal cancer:3.41e-4 (favourable)	Expressed in all	Mixed			thyroid gland: 539.2	Cell line enhanced		A-431: 736.5;CAPAN-2: 1060.7
SPTY2D1-AS1		ENSG00000247595	SPTY2D1 antisense RNA 1	11	18588781-18610255	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at transcript level							Mixed	Tissue enriched	21	testis: 366.7	skin: 17.2	Mixed		
SSR2	TLAP, TRAPB	ENSG00000163479	Signal sequence receptor subunit 2	1	156009048-156020959	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level						Renal cancer:1.00e-7 (unfavourable), Liver cancer:2.86e-4 (unfavourable)	Expressed in all	Expressed in all			epididymis: 551.1	Expressed in all		
ST3GAL4	CGS23, FLJ11867, NANTA3, SAT3, SIAT4, SIAT4C, STZ	ENSG00000110080	ST3 beta-galactoside alpha-2,3-sialyltransferase 4	11	126355640-126440344	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA049827	Approved					Expressed in all	Mixed			epididymis: 106.8	Expressed in all		
ST6GALNAC6	SIAT7F, ST6GALNACVI	ENSG00000160408	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 6	9	127885321-127905408	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA018890	Approved		Approved	Nucleus		Expressed in all	Expressed in all			rectum: 154.1	Expressed in all		
SUSD1	DKFZP761E1824	ENSG00000106868	Sushi domain containing 1	9	112040785-112175408	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA048554	Approved		Approved	Nucleoplasm	Renal cancer:3.63e-6 (favourable)	Expressed in all	Mixed			placenta: 21.5	Cell line enhanced		HEL: 50.2
SUSD5	KIAA0527	ENSG00000173705	Sushi domain containing 5	3	33150042-33219215	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA052788	Uncertain		Uncertain	Golgi apparatus<br>Vesicles		Tissue enhanced	Mixed			cerebral cortex: 11.0	Cell line enhanced		BJ hTERT+ SV40 Large T+: 26.7;HUVEC TERT2: 60.2;LHCN-M2: 23.3;TIME: 23.4
TAPBP	TAPA	ENSG00000231925	TAP binding protein	6	33299694-33314387	Disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA007066	Approved				Breast cancer:2.76e-4 (favourable), Melanoma:6.29e-4 (favourable)	Expressed in all	Expressed in all			spleen: 30.7	Cell line enhanced		CAPAN-2: 67.6
TAPBPL	FLJ10143, TAPBP-R, TAPBPR	ENSG00000139192	TAP binding protein like	12	6451690-6466517	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA039545	Uncertain				Renal cancer:6.04e-5 (favourable), Breast cancer:1.98e-4 (favourable), Urothelial cancer:7.86e-4 (favourable)	Expressed in all	Expressed in all			thyroid gland: 39.2	Cell line enhanced		CAPAN-2: 58.5
TCTN3	C10orf61, DKFZP564D116, JBTS18, TECT3	ENSG00000119977	Tectonic family member 3	10	95663396-95694143	Disease related genes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA026987	Approved		Approved	Microtubules	Endometrial cancer:5.77e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 138.1	Expressed in all		
TEK	CD202b, TIE-2, TIE2, VMCM, VMCM1	ENSG00000120156	TEK receptor tyrosine kinase	9	27109141-27230175	Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	CAB010359, HPA073265	Approved		Supported	Plasma membrane<br>Microtubule organizing center	Liver cancer:2.31e-5 (favourable), Renal cancer:7.81e-4 (favourable)	Expressed in all	Tissue enhanced		placenta: 65.9	lung: 42.6	Group enriched	8	HUVEC TERT2: 74.6;NTERA-2: 44.2;TIME: 80.0
TEX101	CT131, MGC4766, SGRG, SPATA44	ENSG00000131126	Testis expressed 101	19	43401496-43418597	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA041915, HPA042513	Enhanced					Mixed	Tissue enriched	108	testis: 173.9	skin: 1.6	Not detected		
TEX264	FLJ13935, ZSIG11	ENSG00000164081	Testis expressed 264	3	51662693-51704323	Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB005002, HPA017739	Enhanced		Supported	Nucleoli<br>Cytosol	Renal cancer:7.95e-9 (favourable), Pancreatic cancer:5.67e-4 (favourable)	Expressed in all	Expressed in all			testis: 113.1	Expressed in all		
TGFBR1	ACVRLK4, ALK-5, ALK5, ESS1, MSSE	ENSG00000106799	Transforming growth factor beta receptor 1	9	99104038-99154192	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB002441, CAB031481, HPA056473	Uncertain		Supported	Vesicles<br>Plasma membrane		Expressed in all	Expressed in all			placenta: 69.8	Expressed in all		
TGFBR3	betaglycan, BGCAN	ENSG00000069702	Transforming growth factor beta receptor 3	1	91680343-91906335	Cancer-related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA008257, CAB018971	Supported		Uncertain	Cytosol	Thyroid cancer:3.14e-4 (unfavourable), Endometrial cancer:3.36e-4 (unfavourable), Head and neck cancer:4.84e-4 (favourable), Renal cancer:4.99e-4 (favourable)	Expressed in all	Expressed in all			ovary: 99.9	Cell line enhanced		ASC diff: 152.4;ASC TERT1: 75.3;U-2197: 71.9
THSD4	ADAMTSL6, FLJ13710, FVSY9334, PRO34005	ENSG00000187720	Thrombospondin type 1 domain containing 4	15	71096952-71783383	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA026845			Approved	Nucleus<br>Nucleoli		Mixed	Tissue enhanced		cervix, uterine: 160.5	fallopian tube: 59.6	Cell line enhanced		BJ hTERT+: 43.1;TIME: 54.2
THY1	CD90	ENSG00000154096	Thy-1 cell surface antigen	11	119417378-119424985	CD markers, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA003733, CAB068243, CAB068244	Enhanced		Approved	Nucleus<br>Plasma membrane	Renal cancer:2.40e-6 (unfavourable), Glioma:9.64e-4 (unfavourable)	Expressed in all	Tissue enhanced		cerebral cortex: 421.8;smooth muscle: 434.2	gallbladder: 161.0	Cell line enhanced		BJ: 643.3;BJ hTERT+: 686.4;fHDF/TERT166: 1040.5
TIE1	JTK14, TIE	ENSG00000066056	Tyrosine kinase with immunoglobulin like and EGF like domains 1	1	43300993-43323108	Cancer-related genes, Enzymes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level							Expressed in all	Tissue enhanced		placenta: 70.6	lung: 40.1	Cell line enhanced		EFO-21: 100.1;HUVEC TERT2: 199.8;TIME: 171.4
TIMMDC1	C3orf1, FLJ22597	ENSG00000113845	Translocase of inner mitochondrial membrane domain containing 1	3	119498532-119525090	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA053214, HPA055846	Uncertain		Enhanced	Nucleus<br>Mitochondria	Liver cancer:1.12e-5 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 31.5	Expressed in all		
TLR1	CD281, KIAA0012, rsc786	ENSG00000174125	Toll like receptor 1	4	38790677-38856817	CD markers, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level							Expressed in all	Mixed			appendix: 37.2	Cell line enhanced		Daudi: 8.0;HUVEC TERT2: 10.5;RPMI-8226: 9.8;U-698: 14.4
TLR3	CD283	ENSG00000164342	Toll like receptor 3	4	186069152-186088069	CD markers, Disease related genes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB025658	Enhanced				Pancreatic cancer:3.09e-4 (unfavourable)	Mixed	Mixed			placenta: 24.5	Cell line enhanced		BJ hTERT+ SV40 Large T+ RasG12V: 29.4;CAPAN-2: 42.4
TM2D2	BLP1	ENSG00000169490	TM2 domain containing 2	8	38988808-38996824	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA047152, HPA050547	Approved		Approved	Nucleoplasm<br>Vesicles<br>Plasma membrane	Colorectal cancer:1.71e-4 (favourable), Breast cancer:7.49e-4 (unfavourable)	Expressed in all	Expressed in all			testis: 51.3	Expressed in all		
TM2D3	BLP2, FLJ22604	ENSG00000184277	TM2 domain containing 3	15	101621444-101652391	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA054064	Uncertain		Approved	Nucleoplasm<br>Cytosol		Expressed in all	Expressed in all			cerebral cortex: 97.2	Expressed in all		
TM7SF3		ENSG00000064115	Transmembrane 7 superfamily member 3	12	26973195-27014434	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA057640			Supported	Nucleus<br>Cytosol	Renal cancer:1.32e-4 (favourable)	Expressed in all	Expressed in all			kidney: 190.9	Expressed in all		
TM9SF1	HMP70, MP70	ENSG00000100926	Transmembrane 9 superfamily member 1	14	24189143-24195687	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA059249	Supported		Approved	Golgi apparatus	Lung cancer:2.04e-4 (unfavourable), Cervical cancer:8.94e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 73.0	Expressed in all		
TMED1	Il1rl1l, IL1RL1LG, MGC1270, p24g1, p24gamma1, ST2L	ENSG00000099203	Transmembrane p24 trafficking protein 1	19	10832438-10836318	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA018507	Uncertain				Renal cancer:8.66e-5 (favourable)	Expressed in all	Expressed in all			thyroid gland: 47.6	Expressed in all		
TMED2	P24A, p24b1, p24beta1, RNP24	ENSG00000086598	Transmembrane p24 trafficking protein 2	12	123584531-123598577	Plasma proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA014060	Approved		Supported	Vesicles	Renal cancer:2.35e-7 (unfavourable), Head and neck cancer:3.36e-6 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 328.1	Expressed in all		
TMED3	C15orf22, p24B, p24g4, p24gamma4	ENSG00000166557	Transmembrane p24 trafficking protein 3	15	79311062-79427432	Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA049314, HPA076949	Approved		Supported	Golgi apparatus	Renal cancer:3.73e-4 (unfavourable), Breast cancer:7.71e-4 (unfavourable)	Expressed in all	Mixed			salivary gland: 163.2	Mixed		
TMED4	HNLF, p24a3, p24alpha3	ENSG00000158604	Transmembrane p24 trafficking protein 4	7	44577894-44582287	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA014650	Approved				Renal cancer:1.37e-4 (favourable), Endometrial cancer:7.37e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 190.7	Expressed in all		
TMED5	CGI-100, p24g2, p24gamma2	ENSG00000117500	Transmembrane p24 trafficking protein 5	1	93149742-93180728	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA050289	Approved					Expressed in all	Expressed in all			kidney: 28.2	Expressed in all		
TMED7	CGI-109, FLJ90481, p24g3, p24gamma3	ENSG00000134970	Transmembrane p24 trafficking protein 7	5	115613508-115632992	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA008960, CAB025883	Supported					Expressed in all	Expressed in all			thyroid gland: 138.8	Expressed in all		
TMEM108	CT124, MGC3040	ENSG00000144868	Transmembrane protein 108	3	133038391-133397792	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA063350	Uncertain		Approved	Nucleoli<br>Vesicles<br>Plasma membrane<br>Cytosol		Tissue enhanced	Tissue enhanced		cerebral cortex: 21.9;testis: 25.8	adrenal gland: 15.0	Cell line enhanced		HMC-1: 21.3;SCLC-21H: 24.8;SH-SY5Y: 98.2
TMEM116	FLJ90167	ENSG00000198270	Transmembrane protein 116	12	111931282-112013185	Predicted membrane proteins, Predicted secreted proteins	Evidence at transcript level	HPA040720	Approved		Approved	Nucleoplasm<br>Microtubules	Renal cancer:1.08e-4 (favourable)	Expressed in all	Tissue enhanced		parathyroid gland: 57.3	testis: 48.2	Mixed		
TMEM119		ENSG00000183160	Transmembrane protein 119	12	108589846-108598320	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA051870, HPA052650	Enhanced				Renal cancer:2.06e-6 (unfavourable), Ovarian cancer:8.37e-4 (unfavourable)	Expressed in all	Tissue enhanced		cervix, uterine: 93.0	gallbladder: 55.2	Cell line enhanced		ASC diff: 378.8;ASC TERT1: 106.4;BJ hTERT+: 134.8;HSkMC: 171.1
